ISIN/CUSIP,Fund Name,Objective
CUGAX,Aberdeen Global Unconstrained Fixed Income Fund,"The Fund seeks to maximize total investment return, consisting of a combination of interest income, currency gains and capital appreciation. The Fund invests at least 80% of its assets in fixed-income securities of issuers located in a number of countries throughout the world."
GIGAX,Aberdeen International Equity Fund,"The Fund seeks long-term capital growth by investing primarily in equity securities of companies in Europe, Australia, the Far East and other regions, including developing countries."
WVCCX,Aberdeen International Small Cap Fund,"The Fund seeks long-term growth of capital. The Fund seeks to achieve its objective by investing in equity securities of small U.S. and foreign companies. Under normal conditions, the Fund invests in equity securities of small companies from at least three different countries."
AJEAX,Aberdeen Japanese Equities Fund,"The Fund seeks long-term total return. The Fund will invest at least 80% of the value of its net assets, plus any borrowings, in equity securities issued by Japanese companies. It may invest in securities denominated in U.S. Dollars and the currencies of the foreign countries in which it is permitted to invest."
JETAX,Aberdeen Select International Equity Fund II,The Fund seeks long-term growth of capital.  The Fund seeks its investment objective by normally investing at least 80% of its net assets in international equity securities.  The Fund normally excludes investments in the U.S.  The Fund invests in mid-size and larger companies.
BJBIX,Aberdeen Select International Equity Fund,"The Fund seeks long-term growth of capital. The Fund seeks to achieve its goal by investing in a wide variety of international equity securities issued throughout the world, normally excluding the U.S."
NTFAX,Aberdeen Tax-Free Income Fund,The Fund seeks as high a level of current income exempt from federal income tax as is consistent with the preservation of capital by investing in investment-grade municipal obligations.
BJBGX,Aberdeen Total Return Bond Fund,"The Fund seeks to provide total return.  The Fund normally invests in a non-diversified portfolio of fixed income securities of domestic and international issuers which include securities issued by governments, supranational entities and corporations in developed and emerging markets."
GUEAX,Aberdeen US Mid Cap Equity Fund,The Fund seeks long-term capital appreciation. The Fund invests at least 80% of the value of its net assets in equity securities issued by U.S. mid-cap companies. The Fund considers mid-cap companies to be companies that have market capitalizations similar to those of companies included in the Russell Midcap Index.
GXXAX,Aberdeen US Multi-Cap Equity Fund,The Fund seeks to provide long-term capital appreciation. The Fund invests 80% of its net assets in U.S. equity securities of 40-60 US Companies with a focus on companies & industry sectors with favorable economic profit trends.
GSXAX,Aberdeen US Small Cap Equity Fund,The Fund seeks long-term capital appreciation by investing in diversified portfolio of equity securities issued by small capitalization U.S. companies.
ABRVX,ABR Dynamic Blend Equity & Volatility Fund,The Fund seeks investment results that correspond generally to the performance of a benchmark index that measures the returns of a dynamic ratio of large-capitalization stocks and the volatility of large-capitalization stocks. It invests at least 80% of its assets in equity securities and derivative instruments.
AICAX,ABSanford C. Bernstein California Municipal Port,The Fund seeks to provide safety of principal and maximize total return by investing at least 80% of its net assets in a portfolio of municipal securities issued by the State of California or its political subdivisions.  The Fund also seeks to maintain an effective duration of three and one-half to seven years.
AIDAX,ABSanford C. Bernstein Diversified Municipal Port,The Fund seeks to maximize total after-tax return taking into account the taxable nature of interest on taxable bonds and capital gains.
ANIAX,ABSanford C. Bernstein New York Municipal Port,"The Fund seeks to provide safety of principal and to maximize after-tax total return by investing primarily in municipal securities issued by the state of New York or its political subdivision, and will maintain an effective duration of three and one-half to seven years under normal market conditions."
AAMAX,Absolute Capital Asset Allocator Fund,"The Fund seeks long term capital appreciation. It invests directly or indirectly through other investment companies, including mutual funds, ETFs and closed-end funds in domestic and foreign (I) fixed income securities of any maturity or credit quality  (ii) equity securities of any market capitalization"
AAMAX,Absolute Capital Asset Allocator Fund,"The Fund seeks long term capital appreciation. It invests directly or indirectly through other investment companies, including mutual funds, ETFs and closed-end funds in domestic and foreign (I) fixed income securities of any maturity or credit quality  (ii) equity securities of any market capitalization  and (iii) ETNs."
ACMAX,Absolute Capital Defender Fund,"The Fund seeks long term capital appreciation. It invests directly or indirectly through other investment companies, including mutual funds, ETFs & closed-end funds in domestic and foreign (I) fixed income securities  (ii) equity securities of any market capitalization  (iii) cash and cash equivalents  and (iv) ETNs."
CAPOX,Absolute Capital Opportunities Fund,The Fund seeks long-term capital appreciation with a lower sensitivity to traditional financial market indices. The Fund invests through skilled asset managers whose strategies seek to provide attractive returns by focusing on equity investments with lower volatility and lower sensitivity to traditional market indices.
ASFIX,Absolute Strategies Fund,The Fund seeks long-term capital appreciation with an emphasis on absolute (positive) returns and low correlation to traditional financial market indices such as the S&P 500 Index.
ACOIX,AC ONE China Fund,"The Fund seeks to provide capital appreciation and income. Under normal market conditions, the Fund invests at least 80% of its net assets in the equity securities of issuers located in China or that are economically tied to China. Depositary receipts are generally issued by a bank or trust company."
AEMGX,Acadian Emerging Markets Portfolio,"The Fund seeks long-term capital appreciation by investing primarily in common stocks of emerging market country issuers. he Fund invests at least 80% of its net assets, plus any borrowings for investment purposes, in equity securities of issuers that at the time of initial purchase in emerging market countries."
ACASX,Access Capital Community Investment Fund,The Fund seeks to invest in geographically specific debt securities located in portions of the U.S. designated by shareholders. The Fund invests in high quality debt securities and other debt instruments having affordable housing and community development and servicing low- and moderate-income individuals and communities.
AFBIX,Access Flex Bear High Yield Fund,"The Fund seeks to maintain reasonable liquidity and perform the inverse of the total return of the high yield market. It will primarily hold CDS, interest rate swap agreements, other financial Instruments whose value is derived from high yield debt securities, and debt and money market instruments."
FYAIX,Access Flex High Yield Fund,The Fund seeks to provide investment results that correspond generally to the total return of the high yield market consistent with maintaining reasonable liquidity. The Fund will achieve its high yield exposure primarily through CDSs but may invest in each type of instrument without limitation.
ADOAX,ACM Dynamic Opportunity Fund,"The Fund seeks long-term capital appreciation with a short-term focus on capital preservation. The Fund invests in domestic and foreign equity securities of any market capitalization. The Ascendant Capital Management, LLC selects equity securities for the Funds portfolio that are experiencing meaningful breakouts."
MQRAX,ACR Multi-Strategy Quality Return (MQR) Fund,"The Fund seeks to preserve capital from permanent loss during periods of economic decline, and to provide above average absolute and relative returns in the long run. The Fund pursues its investment objectives by investing its assets in equity securities, debt securities, derivative securities, cash and cash equivalents."
AISCX,Acuitas International Small Cap Fund,"The Fund seeks capital appreciation. The Fund normally invests at least 80% of its net assets in publicly-traded international companies with small market capitalizations, defined herein as those with market capitalizations of less than $4 billion. Its investment strategy may include investments in emerging markets."
AFMCX,Acuitas US Microcap Fund,"The Fund seeks capital appreciation. The Fund normally invests at least 80% of its net assets in publicly-traded domestic micro-cap companies. Micro-cap companies are those with market capitalizations of less than $1 billion. The Fund will use a ""multi-manager"" process, allocating assets among a group of asset managers."
ADKSX,Adirondack Small Cap Fund (ADKSX),"The Fund seeks long-term capital appreciation.  Under normal circumstances, at least 80% of the Fund's total assets will be invested in common stocks of small capitalization companies."
VVMIX,Advantus Dynamic Managed Volatility Fund,"The Fund seeks to maximize risk-adjusted total returns relative to its blended benchmark index, comprised of 60% S&P 500 Index and 40% Barclays U.S. Aggregate Index. The Fund invests primarily in equity securities and fixed income securities that are investment-grade corporate bonds."
VMEIX,Advantus Managed Volatility Equity Fund,"The Fund seeks to maximize risk-adjusted returns relative to its blended benchmark index, comprised of 60% S&P 500 Low Volatility Index, 20% S&P BMI International Developed Low Volatility Index and 20% Barclays U.S. 3 Month Treasury Bellwether Index. The Fund invests at least 80% of its net assets in equity securities."
VSDIX,Advantus Strategic Dividend Income,"The Fund seeks above average income and long-term growth of capital, with reduced volatility compared to broader equity markets, as secondary objective. The Fund invests at least 80% of its assets in real assets and securities of companies that derive at least 50% of their revenues from activities related to real assets."
CLFLX,AdvisorOne CLS Flexible Income Fund,"The Fund seeks total return, consisting of capital growth and income, and consistent with the preservation of capital.  Under normal circumstances, the Fund invests at least 80% of its total assets in a diversified portfolio of fixed income securities or exchange traded funds that invest in fixed income securities."
CLACX,AdvisorOne CLS Global Aggressive Equity Fund,"The Fund seeks long-term growth by investing primarily in exchange traded funds, other open-end mutual funds, and closed-end funds.  The Fund may invest up to 50% of its total assets in underlying funds that invest in commodities and up to 40% of its total assets in fixed income securities of varying credit quality."
CLSAX,AdvisorOne CLS Global Diversified Equity Fund,The Fund seeks long-term growth of capital without regard to current income.  The Fund invests primarily in underlying funds that seek capital growth or appreciation by investing in common stocks or securities convertible into or exchangeable for common stock.
CLERX,AdvisorOne CLS Growth and Income Fund,"The Fund seeks a combination of current income and growth of capital. The Fund typically invests approximately 50% of its total assets to equity securities and approximately 50% of its total assets to fixed income securities, including securities with lower debt ratings, including cash and cash equivalents."
CLSHX,AdvisorOne CLS Shelter Fund,"The Fund seeks to limit the impact of large equity market declines.  The Fund's secondary objective is growth of capital.  The Fund invests primarily in U.S. government zero coupon bonds, exchange traded funds, open-end mutual funds and closed-end funds that each invest primarily in equity securities."
ARAAX,AdvisorOne Horizon Active Risk Assist Fund,"The Fund seeks to capture the majority of the returns associated with equity market investments, while mitigating downside risk through use of a risk overlay strategy. Horizon allocates the Funds assets across various sectors of the global securities markets and to mitigate downside risk through Risk Assist overlay."
AADR,AdvisorShares Dorsey Wright ADR ETF (AADR),"The Fund seeks long-term capital appreciation above international benchmarks such as the MSCI EAFE Index and the BNY Mellon Classic ADR Index.  The Fund selects a portfolio of U.S. traded securities of non-U.S. organizations, most often American Depositary Receipts (ADRs), included in the BNY Mellon Classic ADR Index."
CWS,AdvisorShares Focused Equity ETF (CWS),"The Fund seeks long-term capital appreciation. The Fund will be investing in a group of U.S. exchange listed equity securities, including common and preferred stock and ADRs that represent interests in securities issued by a foreign publicly listed company. It invests at least 80% of its net assets in equity securities."
MINC,AdvisorShares Newfleet Multi-Sector Income ETF (MINC),"The Fund seeks to provide current income consistent with preservation of capital, while limiting fluctuations in NAV due to changes in interest rates. The Fund invests in investment-grade securities and seeks to provide diversification by allocating the Funds investments among various sectors of the fixed income markets."
FLRT,AdvisorShares Pacific Asset Enhanced Floating Rate ETF (FLRT),"The Fund seeks to provide a high level of current income. The Fund will generally invest at least 80% of its net assets in floating rate loans and other floating rate debt securities or in debt securities, derivatives or other instruments that have economic characteristics similar to such securities."
HYLD,AdvisorShares Peritus High Yield ETF (HYLD),"The Fund seeks to generate a high current income with a secondary goal of capital appreciation.  The Fund seeks its investment objective by selecting a focused portfolio of high yield debt securities that, via their coupons, generate a high current income stream."
HDGE,AdvisorShares Ranger Equity Bear ETF (HDGE),"The Fund seeks capital appreciation. The Fund will seek to achieve this objective through a short selling a portfolio of liquid mid- and large-cap U.S. exchange-traded funds, exchange-traded notes, and exchange-traded products."
HOLD,AdvisorShares Sage Core Reserves ETF (HOLD),"The Fund seeks to preserve capital while maximizing income. The Fund invests in a variety of fixed income securities, including bonds, forwards and instruments issued by US and foreign issuers. The Fund will invest in US dollar denominated investment grade securities. including mortgage- or asset-backed securities."
VEGA,AdvisorShares STAR Global Buy-Write ETF (VEGA),"The Fund seeks consistent repeatable returns across all market cycles. The Fund is a ""fund of fund"" and intends to invest primarily in exchange-traded funds and exchange-traded notes that seek to track a diversified basket of global indices and investment sectors and that meet certain selection criteria."
ADVGX,Advisory Research All Cap Value Fund (ADVGX),"The Fund seeks long-term capital appreciation.  Under normal circumstances, the Fund will invest in equity securities of companies of any size including small and mid capitalization companies.  The Fund's investments in equity securities may include common stock, preferred stocks and convertible securities."
ADVMX,Advisory Research Emerging Markets Opportunities Fund (ADVMX),"The Fund seeks long term capital appreciation. Under normal circumstances, the Fund will invest at least 80% of its net assets (including amounts borrowed for investment purposes) in equity securities of companies that are either listed, domiciled, or conduct a meaningful amount of business in emerging markets."
ADVIX,Advisory Research International Small Cap Value Fund,"The Fund seeks long-term capital appreciation.  Under normal circumstances, the Fund will invest at least 80% of its net assets in equity securities of small capitalization, foreign (non-U.S.) companies primarily located in developed countries but may also invest in emerging markets."
ADVLX,Advisory Research Intl Small Cap Value Fund,"The Fund seeks long-term capital appreciation.  Under normal circumstances, the Fund will invest at least 80% of its net assets in equity securities of small capitalization, foreign (non-U.S.) companies primarily located in developed countries but may also invest in emerging markets."
INFRX,Advisory Research MLP & Energy Income Fund,"The Fund seeks long-term capital appreciation and current income. The Fund will invest at least 80% of its total assets in publicly traded equity and debt securities of master limited partnerships (MLPs), and in publicly traded equity and debt securities of other companies, focused in the energy infrastructure sector."
MLPPX,Advisory Research MLP & Energy Infrastructure Fund (MLPPX),"The Fund seeks long-term capital appreciation and current income. The Fund will invest at least 80% of its total assets in publicly traded equity and debt securities of master limited partnerships, and in publicly traded equity and debt securities of other companies, focused in the energy infrastructure sector."
ADVNX,Advisory Research Strategic Income Fund (ADVNX),"The Fund seeks high current income. The Fund's secondary objective is long term capital appreciation. The Fund invests primarily in preferred securities and other income producing securities, including convertible securities, debt securities, common stocks, and securities of other investment companies."
AVFAX,Aegis Value Fund,"The Fund seeks to provide long-term capital appreciation. The Fund invests primarily in common stocks that the Funds investment advisor believes are significantly undervalued relative to the market based on fundamental accounting measures including book value (assets less liabilities), revenues, or cash flow."
AVFAX,Aegis Value Fund,"The Fund seeks long-term capital appreciation.  The Fund invests primarily in common stocks that are significantly undervalued relative to the market based on fundamental accounting measures including book value, revenues, or cash flow.  This strategy is commonly known as a deep value investment strategy."
AKRIX,Akre Focus Fund,"The Fund seeks long-term capital appreciation.  Under normal conditions, the Fund invests primarily in securities listed on U.S. stock exchanges.  Investments will consist primarily of common stocks of companies of any capitalization range, but may also include preferred stocks, warrants, options and other equities."
VALAX,Al Frank Fund,The Fund seeks long-term capital appreciation.  The Advisor selects equity securities that it believes are out of favor and undervalued.
ENFR,Alerian Energy Infrastructure ETF (ENFR),"The Fund seeks investment results that correspond to the price and yield performance of its underlying index, the Alerian Energy Infrastructure Index which comprises of 30 equity securities of issuers headquartered in the U.S.A and Canada that engage in the transportation, storage, and processing of energy commodities."
AMLP,Alerian MLP ETF (AMLP),"The Fund seeks investment results that correspond generally to the price and yield performance of its underlying index, the Alerian MLP Infrastructure Index.  The Index is intended to give investors a means of tracking the overall performance of the United States energy infrastructure MLP asset class."
ALAFX,Alger Capital Appreciation Focus Fund,"The Fund seeks long-term capital appreciation by investing in common stocks of companies which appear, on the basis of original research, to have unusual appreciation potential, due to high unit volume growth or major life cycle change."
ACAAX,Alger Capital Appreciation Fund,"The Fund seeks long-term capital appreciation by investing in a diversified, actively managed portfolio of equity securities of companies of any size."
ALARX,Alger Capital Appreciation Institutional Fund,"The Fund seeks long-term capital appreciation by investing in a diversified, actively managed portfolio of equity securities of companies of any size."
SPEDX,Alger Dynamic Opportunities Fund,"The Fund seeks long-term capital appreciation with emphasis on risk-adjusted returns and lower volatility.  The Fund invests primarily in US and foreign equity securities (i.e., taking long positions).  The Fund also identifies securities that it believes will underperform and will sell these securities short."
AAEMX,Alger Emerging Markets Fund,"The Fund seeks long-term capital appreciation. Under normal circumstances, the Fund invests at least 80% of its net assets, plus any borrowings for investment purposes, in equity securities, including common stocks, American Depositary Receipts and Global Depositary Receipts, of emerging country issuers."
CHUSX,Alger Global Growth Fund,"The Fund seeks capital appreciation by investing primarily in equity securities, or securities convertible into equity securities, that trade on the U.S. and Chinese securities markets and are economically tied to China or the United States."
SPEGX,Alger Green Fund,The Portfolio seeks long-term capital appreciation.  Invests in equity securities of companies of any size that are deemed to conduct their business in a socially responsible manner while demonstrating promising growth potential.
DLCIX,Dana Large Cap Equity Fund,"The Fund seeks long-term growth of capital.  The Fund seeks to achieve its investment objective through investment in publicly-traded equity securities using a disciplined, risk-controlled investment process."
DSCIX,Dana Small Cap Equity Fund,The Fund seeks long-term growth of capital. The Fund will invest at least 80% of its net assets in a diversified portfolio of equity securities of small capitalization companies. It considers small capitalization companies to be companies within the range of those companies included in the Russell 2000 Index.
DBALX,Davenport Balanced Income Fund (DBALX),"The Fund seeks current income and an opportunity for long term growth. The Fund will target an allocation of no more than 75% and no less than 25% of its total assets in equity securities and no less than 25% of its total assets in fixed income securities of any duration, maturity or quality rating."
DAVPX,Davenport Core Fund (DAVPX),The Fund seeks long term growth of capital through investment in a diversified portfolio of common stocks. Current income is incidental to this objective and may not be significant.
DEOPX,Davenport Equity Opportunities Fund (DEOPX),"The Fund seeks long term capital appreciation. The Fund invests in common stocks and shares of exchange traded funds (""ETFs"") that invest primarily in common stocks. The Fund will invest primarily in common stocks of medium and small capitalization companies that show strong growth potential."
DSCPX,Davenport Small Cap Focus Fund (DSCPX),"The Fund seeks to provide long term capital appreciation. The Fund invests at least 80% of the Funds net assets will be invested in common stocks of small capitalization companies and shares of registered investment companies (RICs), that invest primarily in stocks of small capitalization companies."
DVIPX,Davenport Value and Income Fund (DVIPX),"The Fund seeks long term growth of capital while generating current income through dividend payments. Under normal circumstances, the Fund will invest primarily in common stocks of companies that have attractive valuations and dividend growth potential."
DFMAX,Davidson Multi-Cap Equity Fund,The Fund seeks long-term capital appreciation.  The Fund seeks to invest at least 80% of its net assets in equity securities across a wide range of market capitalizations and investment styles with attractive fundamental characteristics.
RPFCX,Davis Appreciation & Income Fund,"The Fund seeks total return through a combination of growth and income. Under normal circumstances, the Fund invests in a diversified portfolio of convertible securities, common stock, and fixed income securities."
RPFGX,Davis Financial Fund,The Fund seeks long-term growth of capital. The Fund invests at least 80% of its net assets in securities issued by companies principally engaged in the financial services sector. The Fund invests principally in common stocks (including indirect holdings of common stock through depositary receipts).
DGFAX,Davis Global Fund,"The Fund seeks long-term growth of capital by investing mainly in common stocks of both foreign and U.S. companies. The Fund can invest without limit in foreign securities and can invest in any country, including countries with developed or emerging markets."
RFBAX,Davis Government Bond Fund,The Fund seeks current income while minimizing volatility and preserving capital. The Fund invests exclusively in U.S. Government Securities and repurchase agreements collateralized by U.S. Government.  The Fund also intends to maintain an average maturity of less than three years.
DILAX,Davis International Fund,"The Fund seeks long-term growth of capital.  The Fund invests in foreign securities including countries with developed or emerging markets. The Fund does not limit its investments to companies in a particular capitalization range, but currently focuses its investments in mid- and large-cap companies."
NYVTX,Davis New York Venture Fund,The Fund seeks capital growth by investing primarily in common stock of U.S. companies with market capitalizations of at least $5 billion.
RPEAX,Davis Opportunity Fund,The Fund seeks to achieve growth of capital. The Fund seeks to invest primarily in common stock of U.S. companies with small and medium market capitalizations of less than $20 billion.
RPFRX,Davis Real Estate Fund,The Fund seeks to achieve total return through a combination of growth and income. Invests primarily in securities of companies principally engaged in or related to the real estate industry or which primarily invest in real estate financial instruments.
DHAAX,Day Hagan Tactical Allocation Fund of ETFs,"The Fund seeks long-term capital appreciation with current income as a secondary objective.  The Fund invests in a portfolio of ETFs covering a broad range of global asset classes including US and international stocks, US and international bonds, US and international real estate, commodities and currencies."
DHQAX,Day Hagan Tactical Dividend Fund,"The Fund seeks long-term capital appreciation with current income as secondary objective. The Fund invests primarily in the equity securities of dividend paying domestic companies that the Funds sub-advisor, Gries Financial LLC believes to be under-valued based on its proprietary equity selection model."
MAGSX,Madison Aggressive Allocation Fund,"The Fund seeks capital appreciation by investing primarily in shares of underlying funds.  The Fund will be diversified among a number of asset classes and its allocation among underlying funds will be based on an asset allocation model developed by Madison Asset Management, LLC (the funds investment Adviser)."
MCNAX,Madison Conservative Allocation Fund,"The Fund seeks income, capital appreciation and relative stability of value by investing primarily in shares of underlying funds. The Fund will be diversified among a number of asset classes and its allocation among underlying funds will be based on an asset allocation model developed by the Fund's investment adviser."
MBOAX,Madison Core Bond Fund,"The Fund seeks to generate a high level of current income, consistent with the prudent limitation of investment risk by investing at least 80% of its assets in bonds. The Fund emphasizes investment grade securities and maintains an intermediate (typically 3-6 year) average portfolio duration."
COINX,Madison Corporate Bond Fund,"The Fund seeks to obtain the highest total investment return possible within the policy limitations of investments in corporate bonds rated Baa3/BBB- or better at time of purchase, maintaining an average overall quality of A- or better, maintaining a dollar weighted average maturity of 10 years or less."
MENAX,Madison Covered Call & Equity Income Fund,"The Fund seeks to provide consistent total return, and secondarily, to provide a high level of income and gains from option premiums.  Under normal conditions, the Fund invests primarily in common stocks of large- and mid-capitalization issuers."
MBLAX,Madison Diversified Income Fund,"The Fund seeks a high total return through the combination of income and capital appreciation. The Fund seeks invests in a broadly diversified array of securities. However, under normal market conditions, the funds portfolio managers generally attempt to target a 40% bond and 60% stock investment allocation."
BHBFX,Madison Dividend Income Fund,"The Fund seeks to produce current income while providing an opportunity for capital appreciation. Under normal market conditions, at least 80% of the funds net assets will be invested in dividend paying equity securities. The fund may also invest up to 25% of its common stock allocation in foreign securities."
MHNAX,Madison High Income Fund,"The Fund seeks high current income. It also seeks capital appreciation, but only when consistent with its primary goal.  The fund invests at least 80% of its net assets, including borrowings for investment purposes, in bonds rated lower than investment grade and their unrated equivalents or other high-yielding securities."
MIIBX,Madison High Quality Bond Fund,The Fund seeks the highest return possible (income and share price appreciation) within policy limitations of (1) investments in bonds and money market instruments rated A or better and (2) maintaining a dollar weighted average maturity of 10 years or less.
MINAX,Madison International Stock Fund,The Fund seeks long-term growth of capital. The Fund invests at least 80% of its assets in non-U.S. equity securities. Typically a majority of the Fund's assets are invested in relatively large capitalization stocks of issuers located or operating in developed countries.
MNVAX,Madison Investors Fund,The Fund seeks capital growth by investing primarily in common stocks of larger companies having potential for growth.
MGWAX,Madison Large Cap Value Fund,"The Fund seeks long-term capital growth, with income as a secondary consideration. The Fund focuses on stocks of companies with financial and market strength and a long-term record of financial performance, and will, under normal market conditions, maintain at least 80% of its assets in such large cap stocks."
MERAX,Madison Mid Cap Fund,"The Fund seeks long-term growth. The Fund primarily invests in the common stock of established high-quality, growth companies. Portfolio management emphasis is on mid-sized companies that may offer rapid growth potential. The Fund may also invest up to 25% of its assets in foreign securities including ADRs."
MMDAX,Madison Moderate Allocation Fund,"The Fund seeks capital appreciation, income and moderated market risk by investing primarily in shares of underlying funds.  The Fund will be diversified among a number of asset classes and its allocation among underlying funds will be based on an asset allocation model developed by the Fund's investment adviser."
GTFHX,Madison Tax-Free National Fund,"The Fund seeks to receive income from municipal bonds and to distribute that income to shareholders as tax-free dividends. The fund seeks to achieve its investment objective by investing at least 80% of its net assets including borrowings, in municipal bonds that are exempt from federal income taxes."
GTVAX,Madison Tax-Free Virginia Fund,The Fund seeks income from municipal bonds and to distribute that income to its investors as tax-free dividends and to distribute dividends that are exempt from Virginia as well as federal tax. It seeks to invest at least 80% of assets in municipal bonds that are exempt from federal and state income tax in Virginia.
FWDB,Madrona Global Bond ETF (FWDB),"The Fund seeks seeks investment results that exceed the price and yield performance of its benchmark, the Bloomberg Barclays U.S. Aggregate Bond Index. Under normal market and economic conditions, the Fund invests at least 80% of its net assets (plus any borrowings for investment purposes) in bonds."
MAIPX,MAI Managed Volatility Fund,The Fund seeks income and long term capital appreciation. The Fund will seek to achieve its investment objective by (1) investing in a portfolio of dividend-producing equity securities (2) selling covered call options on a substantial portion of the Fund's portfolio and (3) selling cash-secured put options.
BUYWX,Main BuyWrite Fund,"The Fund seeks to provide total return, from current income and gains from long-term capital appreciation to provide exposure to domestic and foreign equity markets using the BuyWrite strategy. It is a strategy of selling call options on a security owned by the Fund to generate additional returns from the option premium."
AMLPX,MainGate MLP Fund,"The Fund seeks total return. The Fund invests at least 80% of its net assets in MLP interests under normal circumstances. MLPs are publicly traded partnerships primarily engaged in the transportation, storage, processing, refining, marketing, exploration, production, and mining of minerals and natural resources."
MBNAX,MainStay Balanced Fund,"The Fund seeks total return. The Fund invests approximately 60% of its assets in stocks and 40% of its assets in fixed-income securities and cash equivalents. Although this 60/40 ratio may vary, under normal market conditions, the Fund will invest at least 25% of its assets in fixed-income securities."
MSCAX,MainStay California Tax Free Opportunities,"The Fund seeks current income exempt from federal and California income taxes. The Fund, under normal circumstances, invests at least 80% of its assets in municipal bonds, whose interest is, in the opinion of bond counsel for the issuers at the time of issuance, exempt from federal and California income taxes."
MSOAX,MainStay Common Stock Fund,"The Fund seeks to invest in common stocks and other equity-related securities of well established, well managed companies which appear to have better than average growth potential."
MCKAX,MainStay Conservative Allocation Fund,"The Fund seeks current income and, secondarily, long-term growth of capital.  The Fund seeks to achieve its investment objective by normally investing approximately 60% of its assets in Underlying Fixed Income Funds and approximately 40% of its assets in Underlying Equity Funds."
MCOAX,MainStay Convertible Fund,"The Fund seeks capital appreciation together with current income. The Fund invests at least 80% of its assets in convertible securities like bonds, debentures, corporate notes, preferred stocks or other securities that are convertible to common stock or the cash value of a stock or a basket or index of equity securities."
KLGAX,MainStay CornerStone Growth Fund,"The Fund seeks long-term growth of capital.  Under normal circumstances, the Fund will invest at least 80% of its net assets in common stocks of large-capitalization companies.  The Fund will generally invest in common stocks of companies with market capitalizations of at least $53 billion at the time of purchase."
CSHAX,MainStay Cushing MLP Premier Fund,"The Fund seeks to produce current income and capital appreciation through investments in various energy and energy infrastructure related equity and debt securities. The Fund seeks to achieve its investment objective by investing primarily in a portfolio of master limited partnership (""MLP"") investments."
CRZAX,MainStay Cushing Renaissance Advantage Fund,"The Fund seeks to produce a high total return with an emphasis on current income. The Fund invests at least 80% of its Managed Assets in companies across the energy supply chain, including upstream, midstream and downstream energy companies and energy-intensive chemical, metal and industrial and manufacturing companies."
CURAX,MainStay Cushing Royalty Energy Income Fund,"The Fund seeks to produce current income and capital appreciation. The Fund will invest at least 80% of its net assets in energy-related US royalty trusts and Canadian royalty trusts and E&P companies, E&P MLP investments and securities of other North America-based companies engaged in the energy sector."
MEOAX,Mainstay Emerging Markets Opportunities Fund,"The Fund seeks long-term growth of capital. Under normal conditions, the Fund invests at least 80% of its assets in equity securities issued by entities in, or economically tied to, emerging markets. It may invest in securities without regard to market capitalization denominated in US or non-US currencies."
MECDX,MainStay Epoch Capital Growth Fund,The Fund seeks long-term capital appreciation. It invests in a portfolio consisting of equity securities of companies located throughout the world including the US that have a history of earning a high return on their invested capital relative to their cost of capital and that have positive growth in operating cash flow.
EPSPX,MainStay Epoch Global Equity Yield Fund,"The Fund seeks to provide a high level of income.  Capital appreciation is a secondary investment objective.  Under normal circumstances, the Fund invests at least 80% of its assets in a portfolio of equity securities of dividend paying companies located throughout the world, including the United States."
MAAAX,MainStay Epoch US All Cap Fund,"The Fund seeks long-term growth of capital. Dividend income, if any, is a consideration incidental to the Fund's objective of growth of capital. The Fund seeks to invest at least 65% of its total assets in equity securities."
EPLPX,MainStay Epoch US Equity Yield Fund,The Fund seeks long-term capital appreciation by investing primarily in a diversified portfolio consisting of equity securities of U.S. companies. The Fund will invest at least 80% of its net assets in equity securities of U.S. companies with market capitalization of $5 billion and above.
MOPAX,MainStay Epoch US Small Cap Fund,The Fund seeks high total return. The Fund normally invests at least 80% of its assets in securities of U.S. companies with market capitalizations at the time of investment of $3.5 billion or less and invests primarily in common stocks and securities convertible into common stock.
MXFAX,MainStay Floating Rate Fund,"The Fund seeks high current income. The Fund, under normal circumstances, invests at least 80% of its assets in a portfolio of floating rate loans and other floating rate debt securities. The Fund may also purchase fixed-income and variable rate debt securities and money market securities or instruments."
MGHAX,MainStay Global High Income Fund,The Fund seeks current income. Capital appreciation is a secondary objective. The Fund invests at least 80% of its net assets in fixed income securities of issuers in emerging markets. The Fund may invest all or a portion of its assets in fixed income securities of countries with established economies.
MGVAX,MainStay Government Fund,The Fund seeks a high level of current income consistent with safety of principal. Under normal market conditions the Fund seeks to invest at least 80% of net assets in U.S. Government securities and up to 20% of total assets in mortgage-backed and asset-backed securities that are not U.S. Government securities.
MGXAX,MainStay Growth Allocation Fund,The Fund seeks long-term growth of capital.  The Fund seeks to achieve its investment objective by normally investing substantially all of its assets in Underlying Equity Funds.
MHCAX,MainStay High Yield Corporate Bond Fund,The Fund seeks maximum current income through investment in a diversified portfolio of high-yield debt securities. Capital appreciation is a secondary objective. The Fund invests at least 80% of its assets (net assets plus any borrowings for investment purposes) in high-yield corporate debt securities.
MMHAX,MainStay High Yield Municipal Bond Fund,The Fund seeks a high level of current income exempt from federal income taxes. The Fund seeks to invest at least 80% of its assets (net assets plus any borrowings for investment purposes) in municipal bonds. The Fund may invest in municipal bonds rated in any rating category or in unrated municipal bonds.
ICEVX,MainStay ICAP International Fund,The Fund seeks a superior total return with income as a secondary objective.  The Fund seeks to achieve its investment objective by investing primarily in equity securities of foreign companies with market capitalizations of at least $2 billion.
